0	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	20000
1250	3.20363e-07	2.26531e-07	1.84962e-07	1.60181e-07	1.43271e-07	1.30788e-07	1.21086e-07	1.13265e-07	1.06788e-07	1.01308e-07	9.6593e-08	9.24808e-08	8.88527e-08	8.56206e-08	8.27173e-08	8.00907e-08	7.76994e-08	7.55103e-08	7.34963e-08	7.16353e-08
1300	8.18619e-07	5.78851e-07	4.7263e-07	4.0931e-07	3.66098e-07	3.342e-07	3.09409e-07	2.89426e-07	2.72873e-07	2.5887e-07	2.46823e-07	2.36315e-07	2.27044e-07	2.18785e-07	2.11367e-07	2.04655e-07	1.98544e-07	1.9295e-07	1.87804e-07	1.83049e-07
1350	1.95224e-06	1.38044e-06	1.12712e-06	9.76119e-07	8.73067e-07	7.96998e-07	7.37877e-07	6.90221e-07	6.50746e-07	6.17352e-07	5.88622e-07	5.63563e-07	5.41454e-07	5.21758e-07	5.04066e-07	4.8806e-07	4.73488e-07	4.60147e-07	4.47874e-07	4.36534e-07
1400	4.37713e-06	3.0951e-06	2.52714e-06	2.18857e-06	1.95752e-06	1.78696e-06	1.6544e-06	1.54755e-06	1.45905e-06	1.38417e-06	1.31976e-06	1.26357e-06	1.214e-06	1.16984e-06	1.13017e-06	1.09429e-06	1.06161e-06	1.0317e-06	1.00419e-06	9.7876e-07
1450	9.28554e-06	6.56589e-06	5.36104e-06	4.6428e-06	4.15265e-06	3.79083e-06	3.50963e-06	3.28296e-06	3.09521e-06	2.93637e-06	2.79972e-06	2.68053e-06	2.57537e-06	2.48169e-06	2.39754e-06	2.32141e-06	2.2521e-06	2.18864e-06	2.13027e-06	2.07633e-06
1500	1.87402e-05	1.32514e-05	1.08198e-05	9.37021e-06	8.38099e-06	7.65077e-06	7.08324e-06	6.62577e-06	6.24684e-06	5.92627e-06	5.65048e-06	5.40993e-06	5.19769e-06	5.00862e-06	4.83879e-06	4.68514e-06	4.54525e-06	4.41719e-06	4.29938e-06	4.19052e-06
1550	3.6155e-05	2.55658e-05	2.08745e-05	1.80779e-05	1.61694e-05	1.47606e-05	1.36657e-05	1.27831e-05	1.20521e-05	1.14336e-05	1.09015e-05	1.04374e-05	1.0028e-05	9.66318e-06	9.33553e-06	9.03909e-06	8.76921e-06	8.52214e-06	8.29485e-06	8.08482e-06
1600	6.69587e-05	4.73483e-05	3.86602e-05	3.3481e-05	2.99464e-05	2.73373e-05	2.53095e-05	2.36749e-05	2.2321e-05	2.11756e-05	2.01902e-05	1.93306e-05	1.85723e-05	1.78967e-05	1.72899e-05	1.67409e-05	1.62411e-05	1.57835e-05	1.53625e-05	1.49735e-05
1650	0.000119478	8.44878e-05	6.89855e-05	5.9744e-05	5.34371e-05	4.87815e-05	4.51632e-05	4.22465e-05	3.98305e-05	3.77866e-05	3.60282e-05	3.44945e-05	3.31413e-05	3.19358e-05	3.0853e-05	2.98733e-05	2.89814e-05	2.81649e-05	2.74137e-05	2.67196e-05
1700	0.000206069	0.000145726	0.000118989	0.00010305	9.2172e-05	8.41421e-05	7.79011e-05	7.28704e-05	6.87033e-05	6.5178e-05	6.2145e-05	5.94995e-05	5.71655e-05	5.50862e-05	5.32185e-05	5.15287e-05	4.99903e-05	4.85819e-05	4.72863e-05	4.6089e-05
1750	0.000344528	0.000243654	0.000198955	0.000172307	0.00015412	0.000140694	0.00013026	0.000121848	0.000114881	0.000108986	0.000103915	9.94918e-05	9.55891e-05	9.21124e-05	8.89895e-05	8.6164e-05	8.35917e-05	8.12368e-05	7.90703e-05	7.70685e-05
1800	0.000559784	0.00039592	0.000323301	0.000280004	0.000250454	0.00022864	0.000211684	0.000198016	0.000186695	0.000177117	0.000168876	0.000161688	0.000155346	0.000149697	0.000144622	0.00014003	0.00013585	0.000132023	0.000128503	0.00012525
1850	0.00088587	0.000626639	0.000511733	0.000443217	0.000396452	0.000361928	0.000335093	0.00031346	0.000295541	0.000280381	0.000267338	0.000255961	0.000245922	0.00023698	0.000228947	0.000221679	0.000215062	0.000209005	0.000203432	0.000198283
1900	0.00136815	0.000967988	0.000790561	0.00068475	0.000612523	0.000559197	0.000517747	0.000484331	0.00045665	0.000433231	0.000413081	0.000395505	0.000379998	0.000366182	0.000353772	0.000342544	0.000332321	0.000322962	0.000314352	0.000306396
1950	0.00206573	0.00146196	0.00119415	0.0010344	0.000925343	0.000844817	0.000782219	0.000731752	0.000689944	0.000654572	0.000624137	0.000597589	0.000574164	0.000553295	0.000534548	0.000517587	0.000502144	0.000488006	0.000474999	0.00046298
2000	0.0030539	0.00216223	0.00176646	0.00153032	0.00136908	0.00125001	0.00115744	0.0010828	0.00102097	0.000968648	0.000923629	0.000884358	0.000849706	0.000818834	0.0007911	0.000766007	0.000743161	0.000722244	0.000703	0.000685218
2050	0.00442656	0.00313594	0.00256262	0.0022204	0.00198666	0.00181402	0.00167978	0.00157154	0.00148185	0.00140596	0.00134066	0.00128369	0.00123342	0.00118863	0.00114839	0.00111198	0.00107883	0.00104848	0.00102056	0.000994756
2100	0.00629824	0.00446551	0.00365041	0.00316359	0.00283097	0.00258524	0.00239413	0.00224	0.00211229	0.00200421	0.00191119	0.00183004	0.00175843	0.00169462	0.0016373	0.00158543	0.00153819	0.00149495	0.00145516	0.00141839
2150	0.00880542	0.00624991	0.00511157	0.00443116	0.00396605	0.00362231	0.00335491	0.00313922	0.00296046	0.00280916	0.00267893	0.00256531	0.00246503	0.00237567	0.00229538	0.00222273	0.00215657	0.00209599	0.00204026	0.00198874
2200	0.0121068	0.00860561	0.00704272	0.00610759	0.00546794	0.00499499	0.00462696	0.00433	0.00408384	0.00387545	0.00369607	0.00353952	0.00340135	0.00327821	0.00316757	0.00306743	0.00297624	0.00289274	0.0028159	0.00274488
2250	0.0163818	0.0116664	0.0095557	0.00829106	0.00742527	0.00678473	0.00628607	0.00588357	0.00554981	0.0052672	0.00502388	0.0048115	0.00462401	0.0044569	0.00430672	0.0041708	0.004047	0.00393363	0.0038293	0.00373287
2300	0.0218267	0.0155824	0.0127771	0.0110933	0.00993929	0.00908486	0.00841928	0.00788181	0.00743596	0.00705831	0.00673308	0.00644914	0.00619843	0.00597493	0.00577404	0.00559219	0.00542654	0.00527483	0.0051352	0.00500612
2350	0.0286479	0.0205165	0.0168464	0.0146385	0.0131232	0.0120001	0.0111245	0.0104171	0.00982995	0.00933245	0.00890383	0.00852953	0.00819894	0.00790416	0.00763915	0.00739921	0.00718062	0.00698038	0.00679606	0.00662565
2400	0.0370505	0.0266399	0.021913	0.0190611	0.0171002	0.015645	0.0145096	0.0135914	0.0128289	0.0121824	0.0116252	0.0111385	0.0107084	0.0103248	0.00997989	0.00966751	0.00938286	0.00912205	0.00888194	0.00865991
2450	0.0472236	0.0341236	0.0281309	0.024502	0.0220012	0.0201423	0.01869	0.0175146	0.0165377	0.0157089	0.0149942	0.0143695	0.0138174	0.0133247	0.0128815	0.0124801	0.0121142	0.0117788	0.01147	0.0111844
2500	0.0593197	0.0431283	0.0356513	0.031103	0.0279595	0.0256183	0.0237864	0.0223019	0.021067	0.0200185	0.0191136	0.0183223	0.0176225	0.0169978	0.0164356	0.0159261	0.0154616	0.0150358	0.0146435	0.0142806
2550	0.0734306	0.0537893	0.044613	0.0389993	0.0351056	0.0321985	0.0299195	0.0280701	0.0265296	0.0252204	0.0240896	0.0231	0.0222242	0.021442	0.0207377	0.0200992	0.0195167	0.0189825	0.0184903	0.0180348
2600	0.0895596	0.0662005	0.0551298	0.0483097	0.0435587	0.0400005	0.0372048	0.0349318	0.0330359	0.0314226	0.0300277	0.0288057	0.0277235	0.0267563	0.0258848	0.0250943	0.0243728	0.0237109	0.0231007	0.0225357
2650	0.107595	0.0803942	0.0672756	0.0591249	0.0534166	0.0491256	0.0457447	0.0429898	0.0406877	0.0387259	0.0370275	0.0355381	0.0342177	0.0330366	0.0319716	0.0310049	0.030122	0.0293116	0.028564	0.0278717
2700	0.127289	0.0963219	0.081069	0.0714941	0.0647452	0.0596489	0.0556199	0.0523281	0.0495714	0.0472179	0.0451773	0.0433854	0.041795	0.0403709	0.0390856	0.0379179	0.0368508	0.0358704	0.0349657	0.0341272
2750	0.148248	0.113837	0.0964566	0.0854109	0.0775649	0.071608	0.0668793	0.0630035	0.0597493	0.0569649	0.0545463	0.052419	0.0505283	0.0488332	0.0473017	0.0459089	0.0446348	0.0434635	0.0423816	0.0413783
2800	0.169942	0.132682	0.113299	0.1008	0.0918388	0.0849915	0.0795294	0.0750354	0.0712503	0.0680034	0.0651766	0.0626857	0.0604682	0.058477	0.0566756	0.0550355	0.0535336	0.0521514	0.0508737	0.0496878
2850	0.19174	0.152489	0.131365	0.117505	0.107462	0.0997283	0.0935239	0.088396	0.0840611	0.0803311	0.0770753	0.0741997	0.0716348	0.0693276	0.0672371	0.0653311	0.0635835	0.0619733	0.0604832	0.0590988
2900	0.212969	0.172795	0.150325	0.135288	0.124253	0.11568	0.108755	0.103002	0.0981171	0.0938988	0.0902055	0.0869349	0.0840108	0.0813751	0.0789826	0.0767976	0.0747912	0.0729401	0.0712248	0.0696294
2950	0.232996	0.193072	0.169772	0.153825	0.141953	0.132634	0.125049	0.118707	0.113296	0.108604	0.10448	0.100818	0.097534	0.0945673	0.0918686	0.089399	0.0871275	0.0850283	0.0830805	0.0812663
3000	0.251301	0.212771	0.189239	0.172728	0.160234	0.150312	0.142164	0.135303	0.129415	0.124284	0.119758	0.115722	0.112093	0.108805	0.105806	0.103056	0.100521	0.0981748	0.0959936	0.093959
3050	0.267534	0.231385	0.208243	0.191563	0.178713	0.168374	0.159798	0.15252	0.146233	0.140724	0.13584	0.131469	0.127523	0.123937	0.120658	0.117643	0.114857	0.112273	0.109866	0.107616
3100	0.281543	0.248499	0.226327	0.209889	0.196978	0.186442	0.177606	0.17004	0.163456	0.157652	0.152479	0.147827	0.143612	0.139766	0.136238	0.132985	0.129972	0.127169	0.124553	0.122104
3150	0.293351	0.26383	0.243107	0.227296	0.214625	0.204128	0.195218	0.187515	0.180758	0.17476	0.169384	0.164524	0.1601	0.156049	0.152318	0.148867	0.14566	0.14267	0.139871	0.137245
3200	0.303118	0.277242	0.258304	0.243444	0.23129	0.221061	0.21227	0.204591	0.197797	0.191722	0.186241	0.181259	0.176701	0.172509	0.168633	0.165034	0.161679	0.158541	0.155597	0.152827
3250	0.311081	0.288736	0.271765	0.258091	0.24668	0.236924	0.228432	0.220935	0.214241	0.208209	0.20273	0.19772	0.193112	0.188852	0.184898	0.181211	0.177762	0.174526	0.17148	0.168605
3300	0.317509	0.29842	0.283455	0.271103	0.260598	0.251478	0.243438	0.236263	0.229798	0.223925	0.218552	0.213608	0.209036	0.204788	0.200825	0.197116	0.193633	0.190352	0.187254	0.184321
3350	0.322668	0.306473	0.29344	0.282452	0.272945	0.264572	0.257099	0.25036	0.244231	0.238619	0.233448	0.22866	0.224205	0.220045	0.216145	0.212479	0.209021	0.205753	0.202656	0.199715
3400	0.326796	0.313105	0.301856	0.2922	0.283717	0.276147	0.269314	0.26309	0.25738	0.25211	0.247219	0.242662	0.238397	0.234393	0.230622	0.22706	0.223687	0.220486	0.217442	0.214541
3450	0.330098	0.318533	0.308878	0.300469	0.292983	0.286226	0.280063	0.274399	0.269159	0.264287	0.259735	0.255466	0.25145	0.247658	0.24407	0.240666	0.237429	0.234345	0.231401	0.228586
3500	0.33274	0.32296	0.314698	0.307417	0.300865	0.294893	0.289397	0.284303	0.279557	0.275113	0.270935	0.266994	0.263266	0.259729	0.256366	0.253161	0.250102	0.247175	0.244372	0.241682
3550	0.334856	0.326565	0.319499	0.313216	0.307514	0.302272	0.297412	0.292876	0.288621	0.284612	0.280822	0.277229	0.273812	0.270555	0.267445	0.264469	0.261616	0.258878	0.256245	0.25371
3600	0.336552	0.329501	0.323452	0.318036	0.313087	0.308508	0.304236	0.300225	0.296441	0.292858	0.289452	0.286208	0.283109	0.280143	0.277299	0.274568	0.27194	0.269408	0.266966	0.264608
3650	0.337909	0.331891	0.326702	0.322032	0.317742	0.313753	0.310011	0.306482	0.303136	0.299953	0.296915	0.294009	0.291223	0.288546	0.285969	0.283486	0.28109	0.278773	0.276533	0.274362
3700	0.338989	0.333838	0.329375	0.325342	0.321622	0.318148	0.314878	0.31178	0.308833	0.306018	0.303323	0.300735	0.298245	0.295845	0.293528	0.291288	0.28912	0.287019	0.284981	0.283001
