0	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	100000
1100	6.58451e+22	1.3169e+23	1.97535e+23	2.6338e+23	3.29226e+23	3.95071e+23	4.60916e+23	5.26761e+23	5.92606e+23	6.58451e+23	7.24296e+23	7.90141e+23	8.55987e+23	9.21832e+23	9.87677e+23	1.05352e+24	1.11937e+24	1.18521e+24	1.25106e+24	6.58451e+24
1150	6.29823e+22	1.25965e+23	1.88947e+23	2.51929e+23	3.14911e+23	3.77894e+23	4.40876e+23	5.03858e+23	5.66841e+23	6.29823e+23	6.92805e+23	7.55788e+23	8.1877e+23	8.81752e+23	9.44734e+23	1.00772e+24	1.0707e+24	1.13368e+24	1.19666e+24	6.29823e+24
1200	6.0358e+22	1.20716e+23	1.81074e+23	2.41432e+23	3.0179e+23	3.62148e+23	4.22506e+23	4.82864e+23	5.43222e+23	6.0358e+23	6.63938e+23	7.24296e+23	7.84654e+23	8.45012e+23	9.0537e+23	9.65728e+23	1.02609e+24	1.08644e+24	1.1468e+24	6.0358e+24
1250	5.79437e+22	1.15887e+23	1.73831e+23	2.31775e+23	2.89719e+23	3.47662e+23	4.05606e+23	4.6355e+23	5.21493e+23	5.79437e+23	6.37381e+23	6.95325e+23	7.53268e+23	8.11212e+23	8.69156e+23	9.27099e+23	9.85043e+23	1.04299e+24	1.10093e+24	5.79437e+24
1300	5.57151e+22	1.1143e+23	1.67145e+23	2.2286e+23	2.78576e+23	3.34291e+23	3.90006e+23	4.45721e+23	5.01436e+23	5.57151e+23	6.12866e+23	6.68581e+23	7.24296e+23	7.80011e+23	8.35727e+23	8.91442e+23	9.47157e+23	1.00287e+24	1.05859e+24	5.57151e+24
1350	5.36516e+22	1.07303e+23	1.60955e+23	2.14606e+23	2.68258e+23	3.21909e+23	3.75561e+23	4.29213e+23	4.82864e+23	5.36516e+23	5.90167e+23	6.43819e+23	6.97471e+23	7.51122e+23	8.04774e+23	8.58425e+23	9.12077e+23	9.65728e+23	1.01938e+24	5.36516e+24
1400	5.17355e+22	1.03471e+23	1.55206e+23	2.06942e+23	2.58677e+23	3.10413e+23	3.62148e+23	4.13884e+23	4.65619e+23	5.17355e+23	5.6909e+23	6.20825e+23	6.72561e+23	7.24296e+23	7.76032e+23	8.27767e+23	8.79503e+23	9.31238e+23	9.82974e+23	5.17355e+24
1450	4.99515e+22	9.99029e+22	1.49854e+23	1.99806e+23	2.49757e+23	2.99709e+23	3.4966e+23	3.99612e+23	4.49563e+23	4.99515e+23	5.49466e+23	5.99418e+23	6.49369e+23	6.99321e+23	7.49272e+23	7.99224e+23	8.49175e+23	8.99127e+23	9.49078e+23	4.99515e+24
1500	4.82864e+22	9.65728e+22	1.44859e+23	1.93146e+23	2.41432e+23	2.89719e+23	3.38005e+23	3.86291e+23	4.34578e+23	4.82864e+23	5.31151e+23	5.79437e+23	6.27724e+23	6.7601e+23	7.24296e+23	7.72583e+23	8.20869e+23	8.69156e+23	9.17442e+23	4.82864e+24
1550	4.67288e+22	9.34576e+22	1.40186e+23	1.86915e+23	2.33644e+23	2.80373e+23	3.27102e+23	3.7383e+23	4.20559e+23	4.67288e+23	5.14017e+23	5.60746e+23	6.07474e+23	6.54203e+23	7.00932e+23	7.47661e+23	7.9439e+23	8.41118e+23	8.87847e+23	4.67288e+24
1600	4.52685e+22	9.0537e+22	1.35806e+23	1.81074e+23	2.26343e+23	2.71611e+23	3.1688e+23	3.62148e+23	4.07417e+23	4.52685e+23	4.97954e+23	5.43222e+23	5.88491e+23	6.33759e+23	6.79028e+23	7.24296e+23	7.69565e+23	8.14833e+23	8.60102e+23	4.52685e+24
1650	4.38967e+22	8.77935e+22	1.3169e+23	1.75587e+23	2.19484e+23	2.6338e+23	3.07277e+23	3.51174e+23	3.95071e+23	4.38967e+23	4.82864e+23	5.26761e+23	5.70658e+23	6.14554e+23	6.58451e+23	7.02348e+23	7.46245e+23	7.90141e+23	8.34038e+23	4.38967e+24
1700	4.26057e+22	8.52113e+22	1.27817e+23	1.70423e+23	2.13028e+23	2.55634e+23	2.9824e+23	3.40845e+23	3.83451e+23	4.26057e+23	4.68662e+23	5.11268e+23	5.53874e+23	5.96479e+23	6.39085e+23	6.81691e+23	7.24296e+23	7.66902e+23	8.09508e+23	4.26057e+24
1750	4.13884e+22	8.27767e+22	1.24165e+23	1.65553e+23	2.06942e+23	2.4833e+23	2.89719e+23	3.31107e+23	3.72495e+23	4.13884e+23	4.55272e+23	4.9666e+23	5.38049e+23	5.79437e+23	6.20825e+23	6.62214e+23	7.03602e+23	7.44991e+23	7.86379e+23	4.13884e+24
1800	4.02387e+22	8.04774e+22	1.20716e+23	1.60955e+23	2.01193e+23	2.41432e+23	2.81671e+23	3.21909e+23	3.62148e+23	4.02387e+23	4.42626e+23	4.82864e+23	5.23103e+23	5.63342e+23	6.0358e+23	6.43819e+23	6.84058e+23	7.24296e+23	7.64535e+23	4.02387e+24
1850	3.91512e+22	7.83023e+22	1.17453e+23	1.56605e+23	1.95756e+23	2.34907e+23	2.74058e+23	3.13209e+23	3.5236e+23	3.91512e+23	4.30663e+23	4.69814e+23	5.08965e+23	5.48116e+23	5.87267e+23	6.26418e+23	6.6557e+23	7.04721e+23	7.43872e+23	3.91512e+24
